Name,UseCase,"Hardness, target","Tensile Strenght, min","100% Modulus, target","300% Modulus, target","Elongation at break, min","Resilience Bashore, min","Tear Die C, min","Tear Die B, min","Din abrasion (10 N), m?","Cut and chip, 1080 rpm, 0,5 Hz, 10 min","Density, target","Viscosity, target","Dispersion, min",Compresion Set,Abrasion Index,Natural Rubber RSS,Natural Rubber TSR 10 60 CV,Polybutadiene (NR) - Cisamer 1220,Polybutadiene High Cys,SBR,Peptizer,N660,N550,N339,N330,N326,N220,N234,N115,N121,Silica,MR material,Non Reinforcing Filler,Silane,Cabot Endure D63,MWCNT from MRO Gen II,Pasticiser,Aromatic Oil,Naftenic Oil,Paraffinic Process Oil,Pine Tar,C5 Aliphatic Hydrocarbon,Process aid,ZnO,Stearic Acid,6 ppd,TMQ,Micro cristaline wax,TBBS,MBS,CBS,DCBS,MBTS,MBT,DPG,TBzTD,TMTD,Sulfur,Perkalink 900,PVI,Sum Curing System,A/S Ratio,Rubbers Sum
EP0 738 613 A1 - B,Tread,61,20.4,,8,600,,,,,,,,,,,,30,,20,50,,,,,,,,,,30,25,,,4,,,,10,,,,,4,2.5,2,1,1,1,,1.6,,,,,,,,1,,,2.6,1.6,100
EP0 738 613 A1 - C,Tread,62,18.5,,7.8,570,,,,,,,,,,,,30,,,70,,,,,,,,,,,60,,,9.6,,,,14,,,,,4,2.5,2,1,1,1,,3,,,,,,,,1,,,4,3,100
EP0 738 613 A1 - Y,Tread,58,23.6,,11.7,520,,,,,,,,,,,,100,,,,,,,35,,,,,,,,,,,,,,2,,,,,2,5,1,1,1,1,,1.5,,,,,,,,1,,,2.5,1.5,100
EP 0 794 073 A2 - A,Tread,67,26,,15.1,490,,,,,,,,,,,,100,,,,,,,,,,,,,40,15,,,3,,,,2,,,,,1.5,5,4,1.7,1,,,1.69,,,,,,,,0.9,,,2.6,1.9,100
EP 0 794 073 A2 - B,Tread,68,23,,12.1,490,,,,,,,,,,,,60,,40,,,,,,,,,,,44,10,,,4,,,,2,,,,,5.1,3.5,2,2,1,,,1,,,,,,,,1.3,,,2.3,0.8,100
EP 0 794 073 A2 - Y,Tread,60,28,,12.1,550,,,,,,,,,,,,100,,,,,,,,,,,,,37,,,,,,,,2,,,,,0.1,5,1,2.5,1,,,1.5,,,,,,,,1.75,,,3.3,0.9,100
EP0 738 614 A1 - X,Tread,66,18.45,,11.1,480,,,,,,,,,,,,50,,50,,,,,,,,,,,60,,,,,,,,8,,,,,3,3,2.5,1.5,1,1,,2.5,,,,,,,,1.2,,,3.7,2.1,100
EP0 738 614 A1 - Y,Tread,57,17.94,,11.2,325,,,,,,,,,,,,100,,,,,,,,,,,,,28,17,,,3,,,,,,,,,2,9,1,1.5,1,1,,2.5,,,,,,,,1.2,,,3.7,2.1,100
BR102016019425A2-1,,,20.9,,11.6,495,,101,,,,,,,,,,50,,50,,,,,,,,,,,60,0,,,,,,,10,,,,,,3,3,1,1,1,,,1.5,,,,,,,1.5,,,3,1,100
BR102016019425A2-2,,,21.4,,11.1,518,,109,,,,,,,,,,50,,50,,,,,,,,,,,50,10,,,1,,,,10,,,,,,3,3,1,1,1,,,1.5,,,,,,,1.5,,,3,1,100
BR102016019425A2-3,,,21.1,,10.9,519,,103,,,,,,,,,,50,,50,,,,,,,,,,,40,20,,,2,,,,10,,,,,,3,3,1,1,1,,,1.5,,,,,,,1.5,,,3,1,100
BR102016019425A2-4,,,20.4,,10.5,523,,97,,,,,,,,,,50,,50,,,,,,,,,,,30,30,,,3,,,,10,,,,,,3,3,1,1,1,,,1.5,,,,,,,1.5,,,3,1,100
BR102016019425A2-5,,,20.4,,10.4,533,,79,,,,,,,,,,50,,50,,,,,,,,,,,20,40,,,4,,,,10,,,,,,3,3,1,1,1,,,1.5,,,,,,,1.5,,,3,1,100
BR102016019425A2-6,,,19.1,,10.1,525,,72,,,,,,,,,,50,,50,,,,,,,,,,,10,50,,,5,,,,10,,,,,,3,3,1,1,1,,,1.5,,,,,,,1.5,,,3,1,100
BR102016019425A2-7,,,18.9,,10.2,524,,72,,,,,,,,,,50,,50,,,,,,,,,,,0,60,,,6,,,,10,,,,,,3,3,1,1,1,,,1.5,,,,,,,1.5,,,3,1,100
"US 6,818,693 B2",Tread,66,20,,15,406,,,,,,,,,,,,60,,40,,,,,,,,50,,,,,,,,,,,5,,,,,,3,2,1,,,,,2.5,,,,,,,1.5,,,4,1.7,100
WO2009115383A1-Ref,Low H-Buildtup,56,22.9,,9.2,,,,,,,,,,,,,100,,,,,,,,,,30,,,5,,,,,,,,,,,,,,3.5,2,,,,,,1.6,,,,,,,1.4,,,3,1.1,100
WO2009115383A1-V1,Low H-Buildtup,57,23.2,,10.2,,,,,,,,,,,,,100,,,,,,,,30,,,,,5,,,,,,,,,,,,,,3.5,2,,,,,,1.5,,,,,,,1.7,,,3.2,0.9,100
WO2009115383A1-V2,Low H-Buildtup,58,23.7,,10.7,,,,,,,,,,,,,100,,,,,,,,32,,,,,5,,,,,,,,,,,,,,3.5,2,,,,,,1.5,,,,,,,1.7,,,3.2,0.9,100
Ramin Zaf - NRS0,Truck Tread,51,11.5,,9.8,330,,,,91,,,,,,,,75,,25,,,,,60,,,,,,,0,,,0,,,,10,,,,,,4,2,1.5,1,2,,,0.75,,,,,,,1.5,,,2.3,0.5,100
Ramin Zaf - NRS5,Truck Tread,49,10.6,,9.5,348,,,,92,,,,,,,,75,,25,,,,,55,,,,,,,5,,,0.4,,,,10,,,,,,4,2,1.5,1,2,,,0.75,,,,,,,1.5,,,2.3,0.5,100
Ramin Zaf - NRS10,Truck Tread,48,7.8,,7.07,355,,,,197,,,,,,,,75,,25,,,,,50,,,,,,,10,,,0.8,,,,10,,,,,,4,2,1.5,1,2,,,0.75,,,,,,,1.5,,,2.3,0.5,100
Ramin Zaf - NRS20,Truck Tread,49,6.8,,6.1,377,,,,199,,,,,,,,75,,25,,,,,40,,,,,,,20,,,1.6,,,,10,,,,,,4,2,1.5,1,2,,,0.75,,,,,,,1.5,,,2.3,0.5,100
MR-1,Abrasion Test ,68,26.628,4.700814,14.5203,551,,99.71,,,,,,,,119,,100,0,,,,,,,,,,50,,,,3,,,,,,,10,,,,,4,3,2.5,,2,1,,,,,,,,,1.5,,,2.5,0.7,100
MR-2,Abrasion Test ,68,24.606,4.296648,13.36791,552.6,,81.366,,,,,,,,121,,80,20,,,,,,,,,,50,,,,3,,,,,,,10,,,,,4,3,2.5,,2,1,,,,,,,,,1.5,,,2.5,0.7,100
MR-3,Abrasion Test ,68,22.092,4.72429,13.275388,509.56,,75.388,,,,,,,,130,,60,40,,,,,,,,,,50,,,,3,,,,,,,10,,,,,4,3,2.5,,2,1,,,,,,,,,1.5,,,2.5,0.7,100
